positive,negative,rating,comments,category
"Nista,nisam bio u tom objektu.Prebacili nas u drugi objekat!",Kao nije radilo grejanje u toj sobi.Prebacili nas u drugi objekat koji je jeftiniji 20e a uzeli nam 50e.Sramota.,1,"Nista,nisam bio u tom objektu.Prebacili nas u drugi objekat! Kao nije radilo grejanje u toj sobi.Prebacili nas u drugi objekat koji je jeftiniji 20e a uzeli nam 50e.Sramota.",negativan
"Lokacija perfektna, krevet preudoban..",Cistoca na jako losem nivou!,1,"Lokacija perfektna, krevet preudoban.. Cistoca na jako losem nivou!",negativan
Osoblje je uzasno ne preporucijemo nikome iskreno,Cena pise jedna a kad odes na recepciji sasvim druga,1,Osoblje je uzasno ne preporucijemo nikome iskreno Cena pise jedna a kad odes na recepciji sasvim druga,negativan
Lokacija,"Ne mijenjaju peskire , ne dopunjavaju mini bar",3,"Lokacija Ne mijenjaju peskire , ne dopunjavaju mini bar",negativan
Lokacija je dobra.,"Naprosto, nema prostora ni za kakav komfor.
U redu je da soba bude mala, i da uglavnom tu krevet ima najvažniju ulogu, ali da nema gde korak da se napravi, malo je nerealan prostor za hotelsku sobu.
Lokacija je dobra, kao i ostale sobe pretpostavljam.
Soba u kojoj smo boravili, nema apsolutno nikakav predmet gde bi bilo šta moglo da se spusti. Zapravo u istoj i nema mesta ni za kakvu stolicu, ili bilo kakv sto.
Ako je jedina opcija ostaviti lične stvari, piće, hranu ili šta god na pod, to je više nego nekorektno prema gostima. Na slikama definitivno nije realna slika sobe.",3,"Lokacija je dobra. Naprosto, nema prostora ni za kakav komfor.
U redu je da soba bude mala, i da uglavnom tu krevet ima najvažniju ulogu, ali da nema gde korak da se napravi, malo je nerealan prostor za hotelsku sobu.
Lokacija je dobra, kao i ostale sobe pretpostavljam.
Soba u kojoj smo boravili, nema apsolutno nikakav predmet gde bi bilo šta moglo da se spusti. Zapravo u istoj i nema mesta ni za kakvu stolicu, ili bilo kakv sto.
Ako je jedina opcija ostaviti lične stvari, piće, hranu ili šta god na pod, to je više nego nekorektno prema gostima. Na slikama definitivno nije realna slika sobe.",negativan
Dorucak ok,Katastrofa  sauna i bazen odvratno prljave pločice sa zalepljenim slinama tusevi puni dlaka uzas!!!,3,Dorucak ok Katastrofa  sauna i bazen odvratno prljave pločice sa zalepljenim slinama tusevi puni dlaka uzas!!!,negativan
Odlična lokacija i smeštaj.,Nisam mogao da udjem na vrata. Laminat se podigao! Skandal!!!,3,Odlična lokacija i smeštaj. Nisam mogao da udjem na vrata. Laminat se podigao! Skandal!!!,negativan
Dvoriste i pogled su ok.,"Kuhinja-2 serpe i 3 tupa noza,
Kupatilo uzas sve curi na sve strane,povuces vodu operes noge 2u1
Tv ne radi
Signal za telefon -nema jedino roming
Komarnici ne pistoje a komarci ko rode
Plafonjera u kuhinji nije oprana od kada je postavljena cc 10 godina
Roletne pola ne mogu da se dignu
Unutra vikendice se oseti memla
Drva nema za paprikas
Camac koji je slikala - nema
Mol nije kao na slikama( slikala tudj mol)
Prilaz u dvoriste je zemljani sa nagibom od 40 stepeni tako da na vlazno i mokro vreme nema sanse da isterate auto
Kuca se nalazi u neposrednoj blizini krivine tako da ni izlaz autom ( ako uspete) nije bezbedan.
Ne postoji besplatno otkazivanje rezervacije
Puno para za nista.
Jednom recju UZAS!!!!",1,"Dvoriste i pogled su ok. Kuhinja-2 serpe i 3 tupa noza,
Kupatilo uzas sve curi na sve strane,povuces vodu operes noge 2u1
Tv ne radi
Signal za telefon -nema jedino roming
Komarnici ne pistoje a komarci ko rode
Plafonjera u kuhinji nije oprana od kada je postavljena cc 10 godina
Roletne pola ne mogu da se dignu
Unutra vikendice se oseti memla
Drva nema za paprikas
Camac koji je slikala - nema
Mol nije kao na slikama( slikala tudj mol)
Prilaz u dvoriste je zemljani sa nagibom od 40 stepeni tako da na vlazno i mokro vreme nema sanse da isterate auto
Kuca se nalazi u neposrednoj blizini krivine tako da ni izlaz autom ( ako uspete) nije bezbedan.
Ne postoji besplatno otkazivanje rezervacije
Puno para za nista.
Jednom recju UZAS!!!!",negativan
SUPER SVE HVALA PUNO 💋💋💋,Nista 🤪,2,SUPER SVE HVALA PUNO 💋💋💋 Nista 🤪,negativan
Sobe su prostarne i uredne.,"Na mog petogodišnjeg sina je pao tobogan koji nije bio zašrafljen te je povredio glavu (išli smo na hitnu i kod dečjeg hirurga na ušivanje). Velika jedinica za nebrigu i neodgovornost menadžmenta, a osoblju takođe minus koji su odmah nakon incidenta, na krvav tobogan,  pustili drugu decu da se igraju
Ne smem ni da zamislim šta je gore moglo da se desi.",1,"Sobe su prostarne i uredne. Na mog petogodišnjeg sina je pao tobogan koji nije bio zašrafljen te je povredio glavu (išli smo na hitnu i kod dečjeg hirurga na ušivanje). Velika jedinica za nebrigu i neodgovornost menadžmenta, a osoblju takođe minus koji su odmah nakon incidenta, na krvav tobogan,  pustili drugu decu da se igraju
Ne smem ni da zamislim šta je gore moglo da se desi.",negativan
Dobra je lokacija.,"Apartman uopšte ne izgleda kao na slici, imala sam osećaj da boravim u malo bolje sredjenoj supi. Naplaćena je veca cena nego ona koja je ugovorena preko bukinga
, za vreme boravka wifi je radio samo jedan dan.",2,"Dobra je lokacija. Apartman uopšte ne izgleda kao na slici, imala sam osećaj da boravim u malo bolje sredjenoj supi. Naplaćena je veca cena nego ona koja je ugovorena preko bukinga
, za vreme boravka wifi je radio samo jedan dan.",negativan
Lokacija,"Stepeniste nije bezbedno,cak sta vise rizicno...jastuci isuvise tvrdi,visoki...dusek neudoban.Grejanje je na klimu,neprimereno zimskom periodu,kupatilo hladno bez grejanja.",2,"Lokacija Stepeniste nije bezbedno,cak sta vise rizicno...jastuci isuvise tvrdi,visoki...dusek neudoban.Grejanje je na klimu,neprimereno zimskom periodu,kupatilo hladno bez grejanja.",negativan
"Apartman , cist i uredan , sve pohvale ..",Parking ! Kao prvo nije bezbjedan . Insistiraju da se parkirarate skroz do zida .. zaposlena nas je bukvalno maltretirala i vracala 3 puta da auto bude skroz do zida kako je ona zamislila . Pritom  umalo smo ostetili auto .. jer je parking u suterenu i ni malo nije bezbjedan ..,3,"Apartman , cist i uredan , sve pohvale .. Parking ! Kao prvo nije bezbjedan . Insistiraju da se parkirarate skroz do zida .. zaposlena nas je bukvalno maltretirala i vracala 3 puta da auto bude skroz do zida kako je ona zamislila . Pritom  umalo smo ostetili auto .. jer je parking u suterenu i ni malo nije bezbjedan ..",negativan
Lokacija,"Hladan, prljav",2,"Lokacija Hladan, prljav",negativan
Devojke koje rade na recepciji su bile ljubazne.,"Krevet se polomio. Voda koja bi trebala da navodno uvek bude topla nije bila, za zimske dane - katastrofa. Šampanjac koji je obećan uz sobu nije bio tu- obećano nam je da će ga doneti sutra, naravno nisu. Dobro je da nismo propali ( što se parketa tiče)",2,"Devojke koje rade na recepciji su bile ljubazne. Krevet se polomio. Voda koja bi trebala da navodno uvek bude topla nije bila, za zimske dane - katastrofa. Šampanjac koji je obećan uz sobu nije bio tu- obećano nam je da će ga doneti sutra, naravno nisu. Dobro je da nismo propali ( što se parketa tiče)",negativan
Nista specijalno,"Parking nije na istoj lokaciji kao i hotel, a ujedno je i uzasan. Preuzak parking jedva se prolazi, pritom ga naplacuju 20€ dnevno sto je preskupo. Soba mala, na recepciji nikog nema od zaposlenih. Losa usluga, ne bih preporucila nikome.",3,"Nista specijalno Parking nije na istoj lokaciji kao i hotel, a ujedno je i uzasan. Preuzak parking jedva se prolazi, pritom ga naplacuju 20€ dnevno sto je preskupo. Soba mala, na recepciji nikog nema od zaposlenih. Losa usluga, ne bih preporucila nikome.",negativan
,Higijena u spa centru i bazenu je ocajna. Imam utisak da nije cisceno mesecima. U hidromasaznoj kadi je talas stroke i prljavstine na obodu i niko od osoblja ne obraca paznju na to.,3, Higijena u spa centru i bazenu je ocajna. Imam utisak da nije cisceno mesecima. U hidromasaznoj kadi je talas stroke i prljavstine na obodu i niko od osoblja ne obraca paznju na to.,negativan
,Nije imalo uopste grejanje,3, Nije imalo uopste grejanje,negativan
,"Na prvi pogled ne izgleda lose, ali u kupatilu nedostaju plocice, po malo se raspada, jastuci su poput kamena, od dve sobe i 8 jastuka, samo je 1 bio mekan. Hotel zaista zahteva renoviranje, imali smo osecaj da ce se sve raspasti. Ali sto se tice destinacije sve je bilo jako blizu. A osoblje je bilo pomalo negativno, na zalost.",3," Na prvi pogled ne izgleda lose, ali u kupatilu nedostaju plocice, po malo se raspada, jastuci su poput kamena, od dve sobe i 8 jastuka, samo je 1 bio mekan. Hotel zaista zahteva renoviranje, imali smo osecaj da ce se sve raspasti. Ali sto se tice destinacije sve je bilo jako blizu. A osoblje je bilo pomalo negativno, na zalost.",negativan
Lokacija izvanredna,"Kosi krovovi koji onemogućavaju normalno obavljanje male nužde , leganje i ustajanje iz francuskog kreveta. Položaj tv takav da se ne može gledati ni sa jednog od četiri krevets u apartmanu",3,"Lokacija izvanredna Kosi krovovi koji onemogućavaju normalno obavljanje male nužde , leganje i ustajanje iz francuskog kreveta. Položaj tv takav da se ne može gledati ni sa jednog od četiri krevets u apartmanu",negativan
Nista,"Sobe hladne, gazda iskljucio struju, ulazio u sobe dok nismo bili mi tu. Kupatilo nikakvo, tv ne radi, wifi ne radi.",1,"Nista Sobe hladne, gazda iskljucio struju, ulazio u sobe dok nismo bili mi tu. Kupatilo nikakvo, tv ne radi, wifi ne radi.",negativan
,"Veliko razočarenje... Devojka na recepciji koja nas je dočekala uveče dala nam je sobu koja je bila sa malom mini terasom koju kada otvorite kao da ste u filmu strave i užasa, sve se raspada prljava je, prozor od neke prostorije koji je otvoren pun smeća,opušaka od cigareta i sav oronuo stvarno haos. Rekli su da nemaju slobodnih soba da je hotel pun i dali nam jednokrevetnu sobu iako smo tražili dvokrevetnu. Navodno će ujutru učiniti sve kako bi nam obezbedili drugu sobu koja je dvokrevetna i bolja od ove u koju su nas smestili,naravno to se nije dogodilo nit nas je ko upitao bilo šta vezano za sobu. Osoblje na recepciji jako neljubazno i neprofesionalno. U kupatilu nismo imali šampon za tuširanje tačnije imali smo praznu bocu od šampona, koju niko nije zamenio tako jr i ostalo kada smo pošli.Tražio sam da mi se produži boravak od par sati naravno uz doplatu,pare su uzeli a ključ od sobe odjavili u 11 sati,kada sam se vratio u hotel nisam mogao da udjem u sobu. Ne znam šta više reći osim da sam doživeo veliko razočarenje. Nikom ne preporučujem ovaj hotel.",1," Veliko razočarenje... Devojka na recepciji koja nas je dočekala uveče dala nam je sobu koja je bila sa malom mini terasom koju kada otvorite kao da ste u filmu strave i užasa, sve se raspada prljava je, prozor od neke prostorije koji je otvoren pun smeća,opušaka od cigareta i sav oronuo stvarno haos. Rekli su da nemaju slobodnih soba da je hotel pun i dali nam jednokrevetnu sobu iako smo tražili dvokrevetnu. Navodno će ujutru učiniti sve kako bi nam obezbedili drugu sobu koja je dvokrevetna i bolja od ove u koju su nas smestili,naravno to se nije dogodilo nit nas je ko upitao bilo šta vezano za sobu. Osoblje na recepciji jako neljubazno i neprofesionalno. U kupatilu nismo imali šampon za tuširanje tačnije imali smo praznu bocu od šampona, koju niko nije zamenio tako jr i ostalo kada smo pošli.Tražio sam da mi se produži boravak od par sati naravno uz doplatu,pare su uzeli a ključ od sobe odjavili u 11 sati,kada sam se vratio u hotel nisam mogao da udjem u sobu. Ne znam šta više reći osim da sam doživeo veliko razočarenje. Nikom ne preporučujem ovaj hotel.",negativan
Skoro nista,Vecina stvari,3,Skoro nista Vecina stvari,negativan
Osoblje i velicina kompleksa,"Hladan apartman,4 sata nisu rragovali na prijavu da ne radi grejanje. Macke setaju po restoranu,pas lezu na sred toaleta,muve po hrani.",3,"Osoblje i velicina kompleksa Hladan apartman,4 sata nisu rragovali na prijavu da ne radi grejanje. Macke setaju po restoranu,pas lezu na sred toaleta,muve po hrani.",negativan
osoblje ljubazno,"cela soba oseća na farbu, smrdi wc, jedan peškir je prljav čak još mokar. hteli smo da promenimo sobu ali nažalost je hotel pun, odjavili smo se u 1 ujutro jer ne mogu zaspati zbog neprijatnog mirisa farbe.",2,"osoblje ljubazno cela soba oseća na farbu, smrdi wc, jedan peškir je prljav čak još mokar. hteli smo da promenimo sobu ali nažalost je hotel pun, odjavili smo se u 1 ujutro jer ne mogu zaspati zbog neprijatnog mirisa farbe.",negativan
Jako mi se dopala lokacija i sve je na 10 minuta.,"Nije mi se dopalo sto nismo bili na lokaciji navedenoj u oglasu.  Takodje mi se nije dopalo sto je krevet toliko skripao da sam se budila na svaki okret, internet je bio uzasan, prekidalo je na svakih 10 min a kada nije prekidao, bio je uzasno spor. Roletne ne postoje pa je svetlost dopirala u sobu od same zore. Parking je toliko uzak da je prosto nemoguce izaci bez da se ometaju ostali posetioci apartmana. 
Najvise me je sokirao ulazak sobarice dok smo bili u apartmanu. Suprug je zatrazio minut vremena da se obuce da joj otvori vrata ali ona nije htela da saceka vec je sama otkljucala vrata i usla u kupatilo. Bezobrazluk.",3,"Jako mi se dopala lokacija i sve je na 10 minuta. Nije mi se dopalo sto nismo bili na lokaciji navedenoj u oglasu.  Takodje mi se nije dopalo sto je krevet toliko skripao da sam se budila na svaki okret, internet je bio uzasan, prekidalo je na svakih 10 min a kada nije prekidao, bio je uzasno spor. Roletne ne postoje pa je svetlost dopirala u sobu od same zore. Parking je toliko uzak da je prosto nemoguce izaci bez da se ometaju ostali posetioci apartmana. 
Najvise me je sokirao ulazak sobarice dok smo bili u apartmanu. Suprug je zatrazio minut vremena da se obuce da joj otvori vrata ali ona nije htela da saceka vec je sama otkljucala vrata i usla u kupatilo. Bezobrazluk.",negativan
-,"""The Only One Suites"" - neprofesionalni i krajnje neozbiljni.
Najavljeno vrijeme dolaska i potvrđeno tečefonskim pozivom i mail-om.
Po dolasku na recepciju, recepcionar je saopštio da je ""izgubio"" ključ od apartmana i da ne može da nas primi, . Sve se to odigralo u 23:10h. On lagano to saopštava i kaže: ""Eto imate niže niz ulicu pa probajte.""",1,"- ""The Only One Suites"" - neprofesionalni i krajnje neozbiljni.
Najavljeno vrijeme dolaska i potvrđeno tečefonskim pozivom i mail-om.
Po dolasku na recepciju, recepcionar je saopštio da je ""izgubio"" ključ od apartmana i da ne može da nas primi, . Sve se to odigralo u 23:10h. On lagano to saopštava i kaže: ""Eto imate niže niz ulicu pa probajte.""",negativan
Lokacija je ok,"Strujni kablovi na sve strane,nema tople vode,otpale plocice u kupatilu a neke i polomljene,plafoni amstrong gipsani u veoma jadnom stanju i nije mi jasno kako je moguce da ovakvom objektu dodelite ocenu 9,2.UZAS",3,"Lokacija je ok Strujni kablovi na sve strane,nema tople vode,otpale plocice u kupatilu a neke i polomljene,plafoni amstrong gipsani u veoma jadnom stanju i nije mi jasno kako je moguce da ovakvom objektu dodelite ocenu 9,2.UZAS",negativan
,"Nismo bili smešteni u sobi koju smo rezervisali. Iako je pisalo da je parking obezbeđen, bilo je problema i sa mestom za parkiranje.",3," Nismo bili smešteni u sobi koju smo rezervisali. Iako je pisalo da je parking obezbeđen, bilo je problema i sa mestom za parkiranje.",negativan
"Dolazimo ovde uvek kad smo u Bgd.Zaista lep hotel,čist.Doručak dobar.",Buka.Da li je loša izolacija ili loši kreveti.Celu noc nije moglo da se spava  od vriske i lomljenja kreveta iz susednih soba.,2,"Dolazimo ovde uvek kad smo u Bgd.Zaista lep hotel,čist.Doručak dobar. Buka.Da li je loša izolacija ili loši kreveti.Celu noc nije moglo da se spava  od vriske i lomljenja kreveta iz susednih soba.",negativan
Lokacija,"Nema dovoljno obezbeđenog parkinga
Zagusljiva neizluftirana soba neugodan boravak u istoj",3,"Lokacija Nema dovoljno obezbeđenog parkinga
Zagusljiva neizluftirana soba neugodan boravak u istoj",negativan
"Osoblje-kompetentni i izuzetno ljubazni
Krevet- vrlo udoban
Lokacija-odlicna","-nije nam obezbedjen parking u okviru hotela bez obzira na rezervaciju i potvrdu mail-om
-terasa katastrofa,nedopustivo za hotel sa 4*",3,"Osoblje-kompetentni i izuzetno ljubazni
Krevet- vrlo udoban
Lokacija-odlicna -nije nam obezbedjen parking u okviru hotela bez obzira na rezervaciju i potvrdu mail-om
-terasa katastrofa,nedopustivo za hotel sa 4*",negativan
Dobra lokacija.,"Krevet za dete nije namešten iako smo na recepciji podneli zahtev. posle druge molbe da donesu kompet posteljine za dete, nisu doneli jer su rekli da nemaju čistu posteljinu. 
Kada smo se odjavili na recepciji nam nisu izdali račun. Nakon zahteva i ubeđivanja izdali su nam račun.",3,"Dobra lokacija. Krevet za dete nije namešten iako smo na recepciji podneli zahtev. posle druge molbe da donesu kompet posteljine za dete, nisu doneli jer su rekli da nemaju čistu posteljinu. 
Kada smo se odjavili na recepciji nam nisu izdali račun. Nakon zahteva i ubeđivanja izdali su nam račun.",negativan
"Lokacija je super
Mirno je
Sve je novo","Na bookingu je cena smestaja pisala 104 evra kad smo stigli u apartman vlasnici su nam naplatili 110 evra sto nije neka razlika ali zasto pise jedna cena a ljudi traze drugi iznos.
Stan je nov ali je jako lose rasporedjen. Nema mesta za odlaganje stvari.
Znali smo da je pet friendly ali nismo ocekivali da ce biti tako prvljavo, puno dlaka, dlake su bile svih mogucih duzina i boja ja sam morala da cistim apartman provetravam iznosim jastuke jorgane na terasu posto je sve bilo prljavo. Posteljina neka jeftina, sintetika, peskiri imaju fleke, nekvalitetni, skinuli smo posteljinu ispod ima zastita na krevetu koja je imala zute fleke. Znaci ispod kreveta 2cm prasine, dlaka…. Ja koja sam alergicna na sve to morala sam da uzmem tablete, i momak koji nije alergican i njemu je smetalo koliko dlaka i prasine ima.",3,"Lokacija je super
Mirno je
Sve je novo Na bookingu je cena smestaja pisala 104 evra kad smo stigli u apartman vlasnici su nam naplatili 110 evra sto nije neka razlika ali zasto pise jedna cena a ljudi traze drugi iznos.
Stan je nov ali je jako lose rasporedjen. Nema mesta za odlaganje stvari.
Znali smo da je pet friendly ali nismo ocekivali da ce biti tako prvljavo, puno dlaka, dlake su bile svih mogucih duzina i boja ja sam morala da cistim apartman provetravam iznosim jastuke jorgane na terasu posto je sve bilo prljavo. Posteljina neka jeftina, sintetika, peskiri imaju fleke, nekvalitetni, skinuli smo posteljinu ispod ima zastita na krevetu koja je imala zute fleke. Znaci ispod kreveta 2cm prasine, dlaka…. Ja koja sam alergicna na sve to morala sam da uzmem tablete, i momak koji nije alergican i njemu je smetalo koliko dlaka i prasine ima.",negativan
"Domaru (decko koji soli stepenice, cisti sneg, popravlja sve po sobama, popravlja sve oko bazena, svu elektriku, i svima pomaze, raspolozen, vedar, mnogo vredan), da se udvostruci plata ! Pohvala za restoran! Jos veca pohvala za momke iz restorana!","To sto se hotel raspada.. Na bazenu svaki dan puca pod, spa ne radi, sauna radi jedna nekad ni jedna, osoblje uvek namrgodjeno, soba nije bila cista ali smo kupili alkohol i prebrisali osnovne stvari, kod vrata treba da se stavi nesto za obucu da ne curi voda/sneg po parketu, za 4 dana niko nije ocistio sobu i 1x zamena peskira, kupila sam peskire pa sam koristila. A onako na oko i prvi pogled izgleda ok. Izabrala sam hotel prvi put jer je noviji pa smo mislili da je uredan. Ne bi ponovo dosla..",3,"Domaru (decko koji soli stepenice, cisti sneg, popravlja sve po sobama, popravlja sve oko bazena, svu elektriku, i svima pomaze, raspolozen, vedar, mnogo vredan), da se udvostruci plata ! Pohvala za restoran! Jos veca pohvala za momke iz restorana! To sto se hotel raspada.. Na bazenu svaki dan puca pod, spa ne radi, sauna radi jedna nekad ni jedna, osoblje uvek namrgodjeno, soba nije bila cista ali smo kupili alkohol i prebrisali osnovne stvari, kod vrata treba da se stavi nesto za obucu da ne curi voda/sneg po parketu, za 4 dana niko nije ocistio sobu i 1x zamena peskira, kupila sam peskire pa sam koristila. A onako na oko i prvi pogled izgleda ok. Izabrala sam hotel prvi put jer je noviji pa smo mislili da je uredan. Ne bi ponovo dosla..",negativan
"Hotel je izuzetno cist i nov,ali smo pisle pevog obroka u restoranu hotela dobili trovanje,tako da smo ga odmah sutra dan napustili!!!",Hrana,1,"Hotel je izuzetno cist i nov,ali smo pisle pevog obroka u restoranu hotela dobili trovanje,tako da smo ga odmah sutra dan napustili!!! Hrana",negativan
,"Grejanje pomoću klime i grejalice. Prozori su stari, u kupatilu nisu mogli da se zatvore.",2," Grejanje pomoću klime i grejalice. Prozori su stari, u kupatilu nisu mogli da se zatvore.",negativan
Jedino što je čisto,"Radi se o kući, izuvanje na samom ulazu, šetanje po kući bez papuča koje bi trebali da imaju ako je već obaveza izuvanja. Onda, zajedničko kupatilo za sve goste što mi se ne sviđa kao i zajednički dnevni boravak.",3,"Jedino što je čisto Radi se o kući, izuvanje na samom ulazu, šetanje po kući bez papuča koje bi trebali da imaju ako je već obaveza izuvanja. Onda, zajedničko kupatilo za sve goste što mi se ne sviđa kao i zajednički dnevni boravak.",negativan
