positive,negative,rating,comments,category
Dvoriste i pogled su ok.,"Kuhinja-2 serpe i 3 tupa noza,
Kupatilo uzas sve curi na sve strane,povuces vodu operes noge 2u1
Tv ne radi
Signal za telefon -nema jedino roming
Komarnici ne pistoje a komarci ko rode
Plafonjera u kuhinji nije oprana od kada je postavljena cc 10 godina
Roletne pola ne mogu da se dignu
Unutra vikendice se oseti memla
Drva nema za paprikas
Camac koji je slikala - nema
Mol nije kao na slikama( slikala tudj mol)
Prilaz u dvoriste je zemljani sa nagibom od 40 stepeni tako da na vlazno i mokro vreme nema sanse da isterate auto
Kuca se nalazi u neposrednoj blizini krivine tako da ni izlaz autom ( ako uspete) nije bezbedan.
Ne postoji besplatno otkazivanje rezervacije
Puno para za nista.
Jednom recju UZAS!!!!",1,"Dvoriste i pogled su ok. Kuhinja-2 serpe i 3 tupa noza,
Kupatilo uzas sve curi na sve strane,povuces vodu operes noge 2u1
Tv ne radi
Signal za telefon -nema jedino roming
Komarnici ne pistoje a komarci ko rode
Plafonjera u kuhinji nije oprana od kada je postavljena cc 10 godina
Roletne pola ne mogu da se dignu
Unutra vikendice se oseti memla
Drva nema za paprikas
Camac koji je slikala - nema
Mol nije kao na slikama( slikala tudj mol)
Prilaz u dvoriste je zemljani sa nagibom od 40 stepeni tako da na vlazno i mokro vreme nema sanse da isterate auto
Kuca se nalazi u neposrednoj blizini krivine tako da ni izlaz autom ( ako uspete) nije bezbedan.
Ne postoji besplatno otkazivanje rezervacije
Puno para za nista.
Jednom recju UZAS!!!!",negativan
Dve devojke sa recepcije i bara bile su jako ljubazne,"Buka soba je bila iznad velike klime spoljni deo klime  koji je bio bucan celu noc a i put je blizu tako da su celu noc prolazila vozila , krevet neudoban, dorucak je bio ok",3,"Dve devojke sa recepcije i bara bile su jako ljubazne Buka soba je bila iznad velike klime spoljni deo klime  koji je bio bucan celu noc a i put je blizu tako da su celu noc prolazila vozila , krevet neudoban, dorucak je bio ok",negativan
"Lokacija je ok , nije centar ali je ok.
Doručak prosječan.","Najmanja soba  u kojoj sam spavao , a već 20 godina radim u istoj kompaniji i uvijek spavam po hotelima.
Za otići na spavanje trebate puzati.
Utičnice za napuniti mobitel ne rade",2,"Lokacija je ok , nije centar ali je ok.
Doručak prosječan. Najmanja soba  u kojoj sam spavao , a već 20 godina radim u istoj kompaniji i uvijek spavam po hotelima.
Za otići na spavanje trebate puzati.
Utičnice za napuniti mobitel ne rade",negativan
"Osoblje-kompetentni i izuzetno ljubazni
Krevet- vrlo udoban
Lokacija-odlicna","-nije nam obezbedjen parking u okviru hotela bez obzira na rezervaciju i potvrdu mail-om
-terasa katastrofa,nedopustivo za hotel sa 4*",3,"Osoblje-kompetentni i izuzetno ljubazni
Krevet- vrlo udoban
Lokacija-odlicna -nije nam obezbedjen parking u okviru hotela bez obzira na rezervaciju i potvrdu mail-om
-terasa katastrofa,nedopustivo za hotel sa 4*",negativan
,"Smeštaj smo rezervisali 10ak dana ranije i dogovorili se sa vlasnikom da ga pozovemo kada stignemo da nam preda ključeve. Kad smo stigli ispred smeštaja pozvali smo vlasnika da nam da ključ, ali nam je on saopštio da apartman nije slobodan, uz izmišljenu priču da je pukla cev, bez volje da nam  ponudi rešenje za svoj propust. Takođe, rekao je da je dan ranije poslao poruku da apartman neće biti slobodan, ali ta poruka nikada nije stigla. Zbog svega toga smo posumnjali u njegovu priču o cevi. Valjda je normalno da kada se tako nešto desi, pozoveš ljude, kažeš šta je problem i u znak izvinjenja pomogneš u pronalasku novog smeštaja. Vlasnik je očigledno izbegavao razgovor zbog svojih laži.",1," Smeštaj smo rezervisali 10ak dana ranije i dogovorili se sa vlasnikom da ga pozovemo kada stignemo da nam preda ključeve. Kad smo stigli ispred smeštaja pozvali smo vlasnika da nam da ključ, ali nam je on saopštio da apartman nije slobodan, uz izmišljenu priču da je pukla cev, bez volje da nam  ponudi rešenje za svoj propust. Takođe, rekao je da je dan ranije poslao poruku da apartman neće biti slobodan, ali ta poruka nikada nije stigla. Zbog svega toga smo posumnjali u njegovu priču o cevi. Valjda je normalno da kada se tako nešto desi, pozoveš ljude, kažeš šta je problem i u znak izvinjenja pomogneš u pronalasku novog smeštaja. Vlasnik je očigledno izbegavao razgovor zbog svojih laži.",negativan
"Domaru (decko koji soli stepenice, cisti sneg, popravlja sve po sobama, popravlja sve oko bazena, svu elektriku, i svima pomaze, raspolozen, vedar, mnogo vredan), da se udvostruci plata ! Pohvala za restoran! Jos veca pohvala za momke iz restorana!","To sto se hotel raspada.. Na bazenu svaki dan puca pod, spa ne radi, sauna radi jedna nekad ni jedna, osoblje uvek namrgodjeno, soba nije bila cista ali smo kupili alkohol i prebrisali osnovne stvari, kod vrata treba da se stavi nesto za obucu da ne curi voda/sneg po parketu, za 4 dana niko nije ocistio sobu i 1x zamena peskira, kupila sam peskire pa sam koristila. A onako na oko i prvi pogled izgleda ok. Izabrala sam hotel prvi put jer je noviji pa smo mislili da je uredan. Ne bi ponovo dosla..",3,"Domaru (decko koji soli stepenice, cisti sneg, popravlja sve po sobama, popravlja sve oko bazena, svu elektriku, i svima pomaze, raspolozen, vedar, mnogo vredan), da se udvostruci plata ! Pohvala za restoran! Jos veca pohvala za momke iz restorana! To sto se hotel raspada.. Na bazenu svaki dan puca pod, spa ne radi, sauna radi jedna nekad ni jedna, osoblje uvek namrgodjeno, soba nije bila cista ali smo kupili alkohol i prebrisali osnovne stvari, kod vrata treba da se stavi nesto za obucu da ne curi voda/sneg po parketu, za 4 dana niko nije ocistio sobu i 1x zamena peskira, kupila sam peskire pa sam koristila. A onako na oko i prvi pogled izgleda ok. Izabrala sam hotel prvi put jer je noviji pa smo mislili da je uredan. Ne bi ponovo dosla..",negativan
Sobe su prostarne i uredne.,"Na mog petogodišnjeg sina je pao tobogan koji nije bio zašrafljen te je povredio glavu (išli smo na hitnu i kod dečjeg hirurga na ušivanje). Velika jedinica za nebrigu i neodgovornost menadžmenta, a osoblju takođe minus koji su odmah nakon incidenta, na krvav tobogan,  pustili drugu decu da se igraju
Ne smem ni da zamislim šta je gore moglo da se desi.",1,"Sobe su prostarne i uredne. Na mog petogodišnjeg sina je pao tobogan koji nije bio zašrafljen te je povredio glavu (išli smo na hitnu i kod dečjeg hirurga na ušivanje). Velika jedinica za nebrigu i neodgovornost menadžmenta, a osoblju takođe minus koji su odmah nakon incidenta, na krvav tobogan,  pustili drugu decu da se igraju
Ne smem ni da zamislim šta je gore moglo da se desi.",negativan
Jedino što je čisto,"Radi se o kući, izuvanje na samom ulazu, šetanje po kući bez papuča koje bi trebali da imaju ako je već obaveza izuvanja. Onda, zajedničko kupatilo za sve goste što mi se ne sviđa kao i zajednički dnevni boravak.",3,"Jedino što je čisto Radi se o kući, izuvanje na samom ulazu, šetanje po kući bez papuča koje bi trebali da imaju ako je već obaveza izuvanja. Onda, zajedničko kupatilo za sve goste što mi se ne sviđa kao i zajednički dnevni boravak.",negativan
Ništa !!!,"Objekat je ndgrađen iznad garažnih mesta, tako da se u sobi ulazi improvizovanim metalnim stepenicama i sa improvizovanom delu ispred sobe koj služi za kretanje i direktno se ulazi u sobi bez predsobla u kojoj postoji klima koja u hladnim danima nemože zagrejati sobu.
U ponidi se nudi apratman, međutim ne radi se o aprtmanu već o klasičnoj sobi gde sam ja boravio iznad garažnih mesta.
Vlasnik poseduje čvrst objekat  u istom krug (odvojen objekat zidani) koji prezentuje putem Bookinga ali poseduje i ovaj nadzidani objekat iznad garažnih mesta koji izdaje akao aprtmani!!!",1,"Ništa !!! Objekat je ndgrađen iznad garažnih mesta, tako da se u sobi ulazi improvizovanim metalnim stepenicama i sa improvizovanom delu ispred sobe koj služi za kretanje i direktno se ulazi u sobi bez predsobla u kojoj postoji klima koja u hladnim danima nemože zagrejati sobu.
U ponidi se nudi apratman, međutim ne radi se o aprtmanu već o klasičnoj sobi gde sam ja boravio iznad garažnih mesta.
Vlasnik poseduje čvrst objekat  u istom krug (odvojen objekat zidani) koji prezentuje putem Bookinga ali poseduje i ovaj nadzidani objekat iznad garažnih mesta koji izdaje akao aprtmani!!!",negativan
Nista specijalno,"Parking nije na istoj lokaciji kao i hotel, a ujedno je i uzasan. Preuzak parking jedva se prolazi, pritom ga naplacuju 20€ dnevno sto je preskupo. Soba mala, na recepciji nikog nema od zaposlenih. Losa usluga, ne bih preporucila nikome.",3,"Nista specijalno Parking nije na istoj lokaciji kao i hotel, a ujedno je i uzasan. Preuzak parking jedva se prolazi, pritom ga naplacuju 20€ dnevno sto je preskupo. Soba mala, na recepciji nikog nema od zaposlenih. Losa usluga, ne bih preporucila nikome.",negativan
Jedino što mi se dopalo je ljubaznost osoblja hotela i to je sve. Nadam se da su dovoljno plaćeni s'obzirom na to sa kakvim problemima se svakodnevno moraju boriti.,"Sve. Hotel se nalazi u užasnoj, staroj zgradi. Kreveti su stari i škripe kad se okreneš. Zidovi tanki, sve se čuje iz susednih soba. Užasno sparno i zagušljivo, a da izluftiraš ne možeš, jer kad otvoriš terasu, nema svežeg vazduha, jer je sve pod nekom plastikom i terasa gleda na jezive i prljave prostorije. U sobama je osvetljenje užasno. Zavese su postavljene tako, da dok spavate, može vas neko posmatrati iz tih prostorija, što se vidi iz priloženih fotografija.
Parking mesto smo sa dva mala deteta svakog dana tražili ne baš blizu hotela.
Našli su nam parking tek kada smo se bunili (za šta ne krivim osoblje, već vlasnika)
Sramota za uloženi novac.",1,"Jedino što mi se dopalo je ljubaznost osoblja hotela i to je sve. Nadam se da su dovoljno plaćeni s'obzirom na to sa kakvim problemima se svakodnevno moraju boriti. Sve. Hotel se nalazi u užasnoj, staroj zgradi. Kreveti su stari i škripe kad se okreneš. Zidovi tanki, sve se čuje iz susednih soba. Užasno sparno i zagušljivo, a da izluftiraš ne možeš, jer kad otvoriš terasu, nema svežeg vazduha, jer je sve pod nekom plastikom i terasa gleda na jezive i prljave prostorije. U sobama je osvetljenje užasno. Zavese su postavljene tako, da dok spavate, može vas neko posmatrati iz tih prostorija, što se vidi iz priloženih fotografija.
Parking mesto smo sa dva mala deteta svakog dana tražili ne baš blizu hotela.
Našli su nam parking tek kada smo se bunili (za šta ne krivim osoblje, već vlasnika)
Sramota za uloženi novac.",negativan
Dorucak ok,Katastrofa  sauna i bazen odvratno prljave pločice sa zalepljenim slinama tusevi puni dlaka uzas!!!,3,Dorucak ok Katastrofa  sauna i bazen odvratno prljave pločice sa zalepljenim slinama tusevi puni dlaka uzas!!!,negativan
,"Sobarica mi je ukrala novac, trazio sam na recepciji da mi vrate kamere, rekli su da kamere u hodniku ne pokrivaju ulaz u moju sobu.
Strasno,vodite racuna!",1," Sobarica mi je ukrala novac, trazio sam na recepciji da mi vrate kamere, rekli su da kamere u hodniku ne pokrivaju ulaz u moju sobu.
Strasno,vodite racuna!",negativan
,Nije imalo uopste grejanje,3, Nije imalo uopste grejanje,negativan
,"Razočaran, apartman u drugoj zgradi ne u toj gde sam rezervisao a niko me o tome nije obavestio. Bitno im je izgleda samo da uzmu novac. Tuš kabina premalena,vrata na tuš kabini spala tokom tuširanja,vrata od frižidera skoro pa otpala,svetlo kada klikneš na prekidač da ga upališ samo što ne eksplodira a svetlo svakako ne radi blinka samo kao da ste u diskoteci. Kada sam otvorio ladicu u kojoj stoje noževi  viljuške i kašike da uzmem kašiku morao sam prvo da je operem pa zatim da istu koristim,neverovatno. A prilikom odjavljivanja niko se nije udostojio da te pita kakav je bio boravak da li je sve bilo u redu, ipak ste dobili sobu u drugoj zgradi, jeste li zadovoljni. Ne preporučujem nikom da boravi u ovom smeštaju.",1," Razočaran, apartman u drugoj zgradi ne u toj gde sam rezervisao a niko me o tome nije obavestio. Bitno im je izgleda samo da uzmu novac. Tuš kabina premalena,vrata na tuš kabini spala tokom tuširanja,vrata od frižidera skoro pa otpala,svetlo kada klikneš na prekidač da ga upališ samo što ne eksplodira a svetlo svakako ne radi blinka samo kao da ste u diskoteci. Kada sam otvorio ladicu u kojoj stoje noževi  viljuške i kašike da uzmem kašiku morao sam prvo da je operem pa zatim da istu koristim,neverovatno. A prilikom odjavljivanja niko se nije udostojio da te pita kakav je bio boravak da li je sve bilo u redu, ipak ste dobili sobu u drugoj zgradi, jeste li zadovoljni. Ne preporučujem nikom da boravi u ovom smeštaju.",negativan
Nista,"Sobe hladne, gazda iskljucio struju, ulazio u sobe dok nismo bili mi tu. Kupatilo nikakvo, tv ne radi, wifi ne radi.",1,"Nista Sobe hladne, gazda iskljucio struju, ulazio u sobe dok nismo bili mi tu. Kupatilo nikakvo, tv ne radi, wifi ne radi.",negativan
-,"""The Only One Suites"" - neprofesionalni i krajnje neozbiljni.
Najavljeno vrijeme dolaska i potvrđeno tečefonskim pozivom i mail-om.
Po dolasku na recepciju, recepcionar je saopštio da je ""izgubio"" ključ od apartmana i da ne može da nas primi, . Sve se to odigralo u 23:10h. On lagano to saopštava i kaže: ""Eto imate niže niz ulicu pa probajte.""",1,"- ""The Only One Suites"" - neprofesionalni i krajnje neozbiljni.
Najavljeno vrijeme dolaska i potvrđeno tečefonskim pozivom i mail-om.
Po dolasku na recepciju, recepcionar je saopštio da je ""izgubio"" ključ od apartmana i da ne može da nas primi, . Sve se to odigralo u 23:10h. On lagano to saopštava i kaže: ""Eto imate niže niz ulicu pa probajte.""",negativan
,Higijena u spa centru i bazenu je ocajna. Imam utisak da nije cisceno mesecima. U hidromasaznoj kadi je talas stroke i prljavstine na obodu i niko od osoblja ne obraca paznju na to.,3, Higijena u spa centru i bazenu je ocajna. Imam utisak da nije cisceno mesecima. U hidromasaznoj kadi je talas stroke i prljavstine na obodu i niko od osoblja ne obraca paznju na to.,negativan
Devojke koje rade na recepciji su bile ljubazne.,"Krevet se polomio. Voda koja bi trebala da navodno uvek bude topla nije bila, za zimske dane - katastrofa. Šampanjac koji je obećan uz sobu nije bio tu- obećano nam je da će ga doneti sutra, naravno nisu. Dobro je da nismo propali ( što se parketa tiče)",2,"Devojke koje rade na recepciji su bile ljubazne. Krevet se polomio. Voda koja bi trebala da navodno uvek bude topla nije bila, za zimske dane - katastrofa. Šampanjac koji je obećan uz sobu nije bio tu- obećano nam je da će ga doneti sutra, naravno nisu. Dobro je da nismo propali ( što se parketa tiče)",negativan
"Lokacija je super
Mirno je
Sve je novo","Na bookingu je cena smestaja pisala 104 evra kad smo stigli u apartman vlasnici su nam naplatili 110 evra sto nije neka razlika ali zasto pise jedna cena a ljudi traze drugi iznos.
Stan je nov ali je jako lose rasporedjen. Nema mesta za odlaganje stvari.
Znali smo da je pet friendly ali nismo ocekivali da ce biti tako prvljavo, puno dlaka, dlake su bile svih mogucih duzina i boja ja sam morala da cistim apartman provetravam iznosim jastuke jorgane na terasu posto je sve bilo prljavo. Posteljina neka jeftina, sintetika, peskiri imaju fleke, nekvalitetni, skinuli smo posteljinu ispod ima zastita na krevetu koja je imala zute fleke. Znaci ispod kreveta 2cm prasine, dlaka…. Ja koja sam alergicna na sve to morala sam da uzmem tablete, i momak koji nije alergican i njemu je smetalo koliko dlaka i prasine ima.",3,"Lokacija je super
Mirno je
Sve je novo Na bookingu je cena smestaja pisala 104 evra kad smo stigli u apartman vlasnici su nam naplatili 110 evra sto nije neka razlika ali zasto pise jedna cena a ljudi traze drugi iznos.
Stan je nov ali je jako lose rasporedjen. Nema mesta za odlaganje stvari.
Znali smo da je pet friendly ali nismo ocekivali da ce biti tako prvljavo, puno dlaka, dlake su bile svih mogucih duzina i boja ja sam morala da cistim apartman provetravam iznosim jastuke jorgane na terasu posto je sve bilo prljavo. Posteljina neka jeftina, sintetika, peskiri imaju fleke, nekvalitetni, skinuli smo posteljinu ispod ima zastita na krevetu koja je imala zute fleke. Znaci ispod kreveta 2cm prasine, dlaka…. Ja koja sam alergicna na sve to morala sam da uzmem tablete, i momak koji nije alergican i njemu je smetalo koliko dlaka i prasine ima.",negativan
"Lokacija perfektna, krevet preudoban..",Cistoca na jako losem nivou!,1,"Lokacija perfektna, krevet preudoban.. Cistoca na jako losem nivou!",negativan
Skoro nista,Vecina stvari,3,Skoro nista Vecina stvari,negativan
Uredno,"U prizemlju je sala za proslave.Nenormalna buka ,za odmoriti se i naspavati vikendom tesko.",3,"Uredno U prizemlju je sala za proslave.Nenormalna buka ,za odmoriti se i naspavati vikendom tesko.",negativan
Nista,"Neko nas je prevario ili Booking ili hotel , kad sam rezervisao sobu kao Genius korisnik pisalo 51 e , cim sam obavio rezervaciju izbacio je novi iznos 59 e ! A naplatili su mi iz hotela 63 e i to dan pre dolaska , prava lakrdija ! Napominjem da sam genius korisnik treci nivo i da 10 ak godina putujem preko  Bookinga i ovakvo menjanje cjena nisam nikad video , sreca da su mali iznosi jer sam rezervisao samo jednu noc ali sramota je varati svoje redovne korisnike usluga !",2,"Nista Neko nas je prevario ili Booking ili hotel , kad sam rezervisao sobu kao Genius korisnik pisalo 51 e , cim sam obavio rezervaciju izbacio je novi iznos 59 e ! A naplatili su mi iz hotela 63 e i to dan pre dolaska , prava lakrdija ! Napominjem da sam genius korisnik treci nivo i da 10 ak godina putujem preko  Bookinga i ovakvo menjanje cjena nisam nikad video , sreca da su mali iznosi jer sam rezervisao samo jednu noc ali sramota je varati svoje redovne korisnike usluga !",negativan
Lokacija je ok,"Strujni kablovi na sve strane,nema tople vode,otpale plocice u kupatilu a neke i polomljene,plafoni amstrong gipsani u veoma jadnom stanju i nije mi jasno kako je moguce da ovakvom objektu dodelite ocenu 9,2.UZAS",3,"Lokacija je ok Strujni kablovi na sve strane,nema tople vode,otpale plocice u kupatilu a neke i polomljene,plafoni amstrong gipsani u veoma jadnom stanju i nije mi jasno kako je moguce da ovakvom objektu dodelite ocenu 9,2.UZAS",negativan
Lokacija izvanredna,"Kosi krovovi koji onemogućavaju normalno obavljanje male nužde , leganje i ustajanje iz francuskog kreveta. Položaj tv takav da se ne može gledati ni sa jednog od četiri krevets u apartmanu",3,"Lokacija izvanredna Kosi krovovi koji onemogućavaju normalno obavljanje male nužde , leganje i ustajanje iz francuskog kreveta. Položaj tv takav da se ne može gledati ni sa jednog od četiri krevets u apartmanu",negativan
"Hotel je izuzetno cist i nov,ali smo pisle pevog obroka u restoranu hotela dobili trovanje,tako da smo ga odmah sutra dan napustili!!!",Hrana,1,"Hotel je izuzetno cist i nov,ali smo pisle pevog obroka u restoranu hotela dobili trovanje,tako da smo ga odmah sutra dan napustili!!! Hrana",negativan
Nista najgore mjesto na koje sam ikad posjetio,"Soba u kojj sam bio nema prirodnu svjetlost nasprem terase je zid u tunelu  ste. Coca cola u mini baru istekao rok. Rezervisa sam dvije sobe ispostavilo se da jedna nema dorucak i onda je naplacem iako od nas cetvero dvoje nije bilo na dorucku, al kako rekose iz pogresne sobe. Konobarica sa frckavom kosom nevjerobatno neljubazna, kolega konobar nas je cak vrjedjao, a brkati recepcioner nije se ni potrudio odgovoriti na nase primjedbe vec je dodatno bio neprijatan. Jos sam u soku da ovakvi uposleni postoje...",1,"Nista najgore mjesto na koje sam ikad posjetio Soba u kojj sam bio nema prirodnu svjetlost nasprem terase je zid u tunelu  ste. Coca cola u mini baru istekao rok. Rezervisa sam dvije sobe ispostavilo se da jedna nema dorucak i onda je naplacem iako od nas cetvero dvoje nije bilo na dorucku, al kako rekose iz pogresne sobe. Konobarica sa frckavom kosom nevjerobatno neljubazna, kolega konobar nas je cak vrjedjao, a brkati recepcioner nije se ni potrudio odgovoriti na nase primjedbe vec je dodatno bio neprijatan. Jos sam u soku da ovakvi uposleni postoje...",negativan
