positive,negative,rating,comments,category
Samo prking,Kljma u hodniku i malo kupatilo,1,Samo prking Kljma u hodniku i malo kupatilo,negativan
Dobra lokacija.,"Krevet za dete nije namešten iako smo na recepciji podneli zahtev. posle druge molbe da donesu kompet posteljine za dete, nisu doneli jer su rekli da nemaju čistu posteljinu. 
Kada smo se odjavili na recepciji nam nisu izdali račun. Nakon zahteva i ubeđivanja izdali su nam račun.",3,"Dobra lokacija. Krevet za dete nije namešten iako smo na recepciji podneli zahtev. posle druge molbe da donesu kompet posteljine za dete, nisu doneli jer su rekli da nemaju čistu posteljinu. 
Kada smo se odjavili na recepciji nam nisu izdali račun. Nakon zahteva i ubeđivanja izdali su nam račun.",negativan
"Osoblje-kompetentni i izuzetno ljubazni
Krevet- vrlo udoban
Lokacija-odlicna","-nije nam obezbedjen parking u okviru hotela bez obzira na rezervaciju i potvrdu mail-om
-terasa katastrofa,nedopustivo za hotel sa 4*",3,"Osoblje-kompetentni i izuzetno ljubazni
Krevet- vrlo udoban
Lokacija-odlicna -nije nam obezbedjen parking u okviru hotela bez obzira na rezervaciju i potvrdu mail-om
-terasa katastrofa,nedopustivo za hotel sa 4*",negativan
,"Veliko razočarenje... Devojka na recepciji koja nas je dočekala uveče dala nam je sobu koja je bila sa malom mini terasom koju kada otvorite kao da ste u filmu strave i užasa, sve se raspada prljava je, prozor od neke prostorije koji je otvoren pun smeća,opušaka od cigareta i sav oronuo stvarno haos. Rekli su da nemaju slobodnih soba da je hotel pun i dali nam jednokrevetnu sobu iako smo tražili dvokrevetnu. Navodno će ujutru učiniti sve kako bi nam obezbedili drugu sobu koja je dvokrevetna i bolja od ove u koju su nas smestili,naravno to se nije dogodilo nit nas je ko upitao bilo šta vezano za sobu. Osoblje na recepciji jako neljubazno i neprofesionalno. U kupatilu nismo imali šampon za tuširanje tačnije imali smo praznu bocu od šampona, koju niko nije zamenio tako jr i ostalo kada smo pošli.Tražio sam da mi se produži boravak od par sati naravno uz doplatu,pare su uzeli a ključ od sobe odjavili u 11 sati,kada sam se vratio u hotel nisam mogao da udjem u sobu. Ne znam šta više reći osim da sam doživeo veliko razočarenje. Nikom ne preporučujem ovaj hotel.",1," Veliko razočarenje... Devojka na recepciji koja nas je dočekala uveče dala nam je sobu koja je bila sa malom mini terasom koju kada otvorite kao da ste u filmu strave i užasa, sve se raspada prljava je, prozor od neke prostorije koji je otvoren pun smeća,opušaka od cigareta i sav oronuo stvarno haos. Rekli su da nemaju slobodnih soba da je hotel pun i dali nam jednokrevetnu sobu iako smo tražili dvokrevetnu. Navodno će ujutru učiniti sve kako bi nam obezbedili drugu sobu koja je dvokrevetna i bolja od ove u koju su nas smestili,naravno to se nije dogodilo nit nas je ko upitao bilo šta vezano za sobu. Osoblje na recepciji jako neljubazno i neprofesionalno. U kupatilu nismo imali šampon za tuširanje tačnije imali smo praznu bocu od šampona, koju niko nije zamenio tako jr i ostalo kada smo pošli.Tražio sam da mi se produži boravak od par sati naravno uz doplatu,pare su uzeli a ključ od sobe odjavili u 11 sati,kada sam se vratio u hotel nisam mogao da udjem u sobu. Ne znam šta više reći osim da sam doživeo veliko razočarenje. Nikom ne preporučujem ovaj hotel.",negativan
"Higijena je ok, kao i lokacija. Sve ostalo jako loše.","Pod škripi, o krevetu da ne pričam.. imate utisak da će se raspasti. Zvučna izolacija ne postoji. Nećete spavati.",2,"Higijena je ok, kao i lokacija. Sve ostalo jako loše. Pod škripi, o krevetu da ne pričam.. imate utisak da će se raspasti. Zvučna izolacija ne postoji. Nećete spavati.",negativan
"Ništa,odnos katastrofa slali policijo na mene..",Ništa.,1,"Ništa,odnos katastrofa slali policijo na mene.. Ništa.",negativan
Dvoriste i pogled su ok.,"Kuhinja-2 serpe i 3 tupa noza,
Kupatilo uzas sve curi na sve strane,povuces vodu operes noge 2u1
Tv ne radi
Signal za telefon -nema jedino roming
Komarnici ne pistoje a komarci ko rode
Plafonjera u kuhinji nije oprana od kada je postavljena cc 10 godina
Roletne pola ne mogu da se dignu
Unutra vikendice se oseti memla
Drva nema za paprikas
Camac koji je slikala - nema
Mol nije kao na slikama( slikala tudj mol)
Prilaz u dvoriste je zemljani sa nagibom od 40 stepeni tako da na vlazno i mokro vreme nema sanse da isterate auto
Kuca se nalazi u neposrednoj blizini krivine tako da ni izlaz autom ( ako uspete) nije bezbedan.
Ne postoji besplatno otkazivanje rezervacije
Puno para za nista.
Jednom recju UZAS!!!!",1,"Dvoriste i pogled su ok. Kuhinja-2 serpe i 3 tupa noza,
Kupatilo uzas sve curi na sve strane,povuces vodu operes noge 2u1
Tv ne radi
Signal za telefon -nema jedino roming
Komarnici ne pistoje a komarci ko rode
Plafonjera u kuhinji nije oprana od kada je postavljena cc 10 godina
Roletne pola ne mogu da se dignu
Unutra vikendice se oseti memla
Drva nema za paprikas
Camac koji je slikala - nema
Mol nije kao na slikama( slikala tudj mol)
Prilaz u dvoriste je zemljani sa nagibom od 40 stepeni tako da na vlazno i mokro vreme nema sanse da isterate auto
Kuca se nalazi u neposrednoj blizini krivine tako da ni izlaz autom ( ako uspete) nije bezbedan.
Ne postoji besplatno otkazivanje rezervacije
Puno para za nista.
Jednom recju UZAS!!!!",negativan
SUPER SVE HVALA PUNO 💋💋💋,Nista 🤪,2,SUPER SVE HVALA PUNO 💋💋💋 Nista 🤪,negativan
Osoblje i velicina kompleksa,"Hladan apartman,4 sata nisu rragovali na prijavu da ne radi grejanje. Macke setaju po restoranu,pas lezu na sred toaleta,muve po hrani.",3,"Osoblje i velicina kompleksa Hladan apartman,4 sata nisu rragovali na prijavu da ne radi grejanje. Macke setaju po restoranu,pas lezu na sred toaleta,muve po hrani.",negativan
,"Preglasna muzika😟
Neudoban krevet jako🥴
Nema grejanje u kupatilu😵
Nema papuca🤭
Slaba komunikacija sa recepcijom🥴
Voda izvire sama od nekud u kupatilu 🥴🥴🥴",3," Preglasna muzika😟
Neudoban krevet jako🥴
Nema grejanje u kupatilu😵
Nema papuca🤭
Slaba komunikacija sa recepcijom🥴
Voda izvire sama od nekud u kupatilu 🥴🥴🥴",negativan
Sobe su prostarne i uredne.,"Na mog petogodišnjeg sina je pao tobogan koji nije bio zašrafljen te je povredio glavu (išli smo na hitnu i kod dečjeg hirurga na ušivanje). Velika jedinica za nebrigu i neodgovornost menadžmenta, a osoblju takođe minus koji su odmah nakon incidenta, na krvav tobogan,  pustili drugu decu da se igraju
Ne smem ni da zamislim šta je gore moglo da se desi.",1,"Sobe su prostarne i uredne. Na mog petogodišnjeg sina je pao tobogan koji nije bio zašrafljen te je povredio glavu (išli smo na hitnu i kod dečjeg hirurga na ušivanje). Velika jedinica za nebrigu i neodgovornost menadžmenta, a osoblju takođe minus koji su odmah nakon incidenta, na krvav tobogan,  pustili drugu decu da se igraju
Ne smem ni da zamislim šta je gore moglo da se desi.",negativan
Lokacija,"Ne mijenjaju peskire , ne dopunjavaju mini bar",3,"Lokacija Ne mijenjaju peskire , ne dopunjavaju mini bar",negativan
Lokacija je top,Sve je staro i kreveti smrde na znoj i ko zna sta vise. Nema klime. Trebali smo da budemo 2 noci ali posle prve smo nasli drugi smestaj i otisli.,1,Lokacija je top Sve je staro i kreveti smrde na znoj i ko zna sta vise. Nema klime. Trebali smo da budemo 2 noci ali posle prve smo nasli drugi smestaj i otisli.,negativan
Lokacija,"Stepeniste nije bezbedno,cak sta vise rizicno...jastuci isuvise tvrdi,visoki...dusek neudoban.Grejanje je na klimu,neprimereno zimskom periodu,kupatilo hladno bez grejanja.",2,"Lokacija Stepeniste nije bezbedno,cak sta vise rizicno...jastuci isuvise tvrdi,visoki...dusek neudoban.Grejanje je na klimu,neprimereno zimskom periodu,kupatilo hladno bez grejanja.",negativan
Nista,"Sobe hladne, gazda iskljucio struju, ulazio u sobe dok nismo bili mi tu. Kupatilo nikakvo, tv ne radi, wifi ne radi.",1,"Nista Sobe hladne, gazda iskljucio struju, ulazio u sobe dok nismo bili mi tu. Kupatilo nikakvo, tv ne radi, wifi ne radi.",negativan
"Nista,nisam bio u tom objektu.Prebacili nas u drugi objekat!",Kao nije radilo grejanje u toj sobi.Prebacili nas u drugi objekat koji je jeftiniji 20e a uzeli nam 50e.Sramota.,1,"Nista,nisam bio u tom objektu.Prebacili nas u drugi objekat! Kao nije radilo grejanje u toj sobi.Prebacili nas u drugi objekat koji je jeftiniji 20e a uzeli nam 50e.Sramota.",negativan
"Dolazimo ovde uvek kad smo u Bgd.Zaista lep hotel,čist.Doručak dobar.",Buka.Da li je loša izolacija ili loši kreveti.Celu noc nije moglo da se spava  od vriske i lomljenja kreveta iz susednih soba.,2,"Dolazimo ovde uvek kad smo u Bgd.Zaista lep hotel,čist.Doručak dobar. Buka.Da li je loša izolacija ili loši kreveti.Celu noc nije moglo da se spava  od vriske i lomljenja kreveta iz susednih soba.",negativan
Lokacija,"Nema dovoljno obezbeđenog parkinga
Zagusljiva neizluftirana soba neugodan boravak u istoj",3,"Lokacija Nema dovoljno obezbeđenog parkinga
Zagusljiva neizluftirana soba neugodan boravak u istoj",negativan
Doručak je bio odličan i higijena hotela,"Bazen nismo mogli da koristimo jer je bila školica plivanja to nigde nije pisalo da se bazen ne moze koriatiti subotom pre podne. Verovatno ne bih rezervisao. Sobe minijaturne, delimicno renovirane, neudobne. Osoblje nezainteresovano. Imali smo problem sa kreditnom karticom, ali službenica umesto da pomogne (problem je bio u hotelskom terminalu) je rekla ne znam a da vi platite u kesu. Sve u svemu nista za te pare...",3,"Doručak je bio odličan i higijena hotela Bazen nismo mogli da koristimo jer je bila školica plivanja to nigde nije pisalo da se bazen ne moze koriatiti subotom pre podne. Verovatno ne bih rezervisao. Sobe minijaturne, delimicno renovirane, neudobne. Osoblje nezainteresovano. Imali smo problem sa kreditnom karticom, ali službenica umesto da pomogne (problem je bio u hotelskom terminalu) je rekla ne znam a da vi platite u kesu. Sve u svemu nista za te pare...",negativan
,"Gospođa, koja je radila za recepcijom u popodnevnoj smeni, bila je jako ljubazna i predusretljiva sve pohvale za nju. Međutim, recepcioner u noćnoj smeni, Stefan mislim da mu je ima, prvo nije nas pozvao, a imale smo naručeno buđenje za avion rano ujutru, što znači da je bilo do njega propustile bismo avion,  onda je bio jako neljubazan i kad smo mu objašnjavale da imamo zakazan taksi do aerodroma.",3," Gospođa, koja je radila za recepcijom u popodnevnoj smeni, bila je jako ljubazna i predusretljiva sve pohvale za nju. Međutim, recepcioner u noćnoj smeni, Stefan mislim da mu je ima, prvo nije nas pozvao, a imale smo naručeno buđenje za avion rano ujutru, što znači da je bilo do njega propustile bismo avion,  onda je bio jako neljubazan i kad smo mu objašnjavale da imamo zakazan taksi do aerodroma.",negativan
Dorucak ok,Katastrofa  sauna i bazen odvratno prljave pločice sa zalepljenim slinama tusevi puni dlaka uzas!!!,3,Dorucak ok Katastrofa  sauna i bazen odvratno prljave pločice sa zalepljenim slinama tusevi puni dlaka uzas!!!,negativan
,"Sobarica mi je ukrala novac, trazio sam na recepciji da mi vrate kamere, rekli su da kamere u hodniku ne pokrivaju ulaz u moju sobu.
Strasno,vodite racuna!",1," Sobarica mi je ukrala novac, trazio sam na recepciji da mi vrate kamere, rekli su da kamere u hodniku ne pokrivaju ulaz u moju sobu.
Strasno,vodite racuna!",negativan
"Lokacija je super
Mirno je
Sve je novo","Na bookingu je cena smestaja pisala 104 evra kad smo stigli u apartman vlasnici su nam naplatili 110 evra sto nije neka razlika ali zasto pise jedna cena a ljudi traze drugi iznos.
Stan je nov ali je jako lose rasporedjen. Nema mesta za odlaganje stvari.
Znali smo da je pet friendly ali nismo ocekivali da ce biti tako prvljavo, puno dlaka, dlake su bile svih mogucih duzina i boja ja sam morala da cistim apartman provetravam iznosim jastuke jorgane na terasu posto je sve bilo prljavo. Posteljina neka jeftina, sintetika, peskiri imaju fleke, nekvalitetni, skinuli smo posteljinu ispod ima zastita na krevetu koja je imala zute fleke. Znaci ispod kreveta 2cm prasine, dlaka…. Ja koja sam alergicna na sve to morala sam da uzmem tablete, i momak koji nije alergican i njemu je smetalo koliko dlaka i prasine ima.",3,"Lokacija je super
Mirno je
Sve je novo Na bookingu je cena smestaja pisala 104 evra kad smo stigli u apartman vlasnici su nam naplatili 110 evra sto nije neka razlika ali zasto pise jedna cena a ljudi traze drugi iznos.
Stan je nov ali je jako lose rasporedjen. Nema mesta za odlaganje stvari.
Znali smo da je pet friendly ali nismo ocekivali da ce biti tako prvljavo, puno dlaka, dlake su bile svih mogucih duzina i boja ja sam morala da cistim apartman provetravam iznosim jastuke jorgane na terasu posto je sve bilo prljavo. Posteljina neka jeftina, sintetika, peskiri imaju fleke, nekvalitetni, skinuli smo posteljinu ispod ima zastita na krevetu koja je imala zute fleke. Znaci ispod kreveta 2cm prasine, dlaka…. Ja koja sam alergicna na sve to morala sam da uzmem tablete, i momak koji nije alergican i njemu je smetalo koliko dlaka i prasine ima.",negativan
Skoro nista,Vecina stvari,3,Skoro nista Vecina stvari,negativan
Pub.,Sve ostalo.,1,Pub. Sve ostalo.,negativan
Nista,Sve,3,Nista Sve,negativan
Jedino što mi se dopalo je ljubaznost osoblja hotela i to je sve. Nadam se da su dovoljno plaćeni s'obzirom na to sa kakvim problemima se svakodnevno moraju boriti.,"Sve. Hotel se nalazi u užasnoj, staroj zgradi. Kreveti su stari i škripe kad se okreneš. Zidovi tanki, sve se čuje iz susednih soba. Užasno sparno i zagušljivo, a da izluftiraš ne možeš, jer kad otvoriš terasu, nema svežeg vazduha, jer je sve pod nekom plastikom i terasa gleda na jezive i prljave prostorije. U sobama je osvetljenje užasno. Zavese su postavljene tako, da dok spavate, može vas neko posmatrati iz tih prostorija, što se vidi iz priloženih fotografija.
Parking mesto smo sa dva mala deteta svakog dana tražili ne baš blizu hotela.
Našli su nam parking tek kada smo se bunili (za šta ne krivim osoblje, već vlasnika)
Sramota za uloženi novac.",1,"Jedino što mi se dopalo je ljubaznost osoblja hotela i to je sve. Nadam se da su dovoljno plaćeni s'obzirom na to sa kakvim problemima se svakodnevno moraju boriti. Sve. Hotel se nalazi u užasnoj, staroj zgradi. Kreveti su stari i škripe kad se okreneš. Zidovi tanki, sve se čuje iz susednih soba. Užasno sparno i zagušljivo, a da izluftiraš ne možeš, jer kad otvoriš terasu, nema svežeg vazduha, jer je sve pod nekom plastikom i terasa gleda na jezive i prljave prostorije. U sobama je osvetljenje užasno. Zavese su postavljene tako, da dok spavate, može vas neko posmatrati iz tih prostorija, što se vidi iz priloženih fotografija.
Parking mesto smo sa dva mala deteta svakog dana tražili ne baš blizu hotela.
Našli su nam parking tek kada smo se bunili (za šta ne krivim osoblje, već vlasnika)
Sramota za uloženi novac.",negativan
"Lokacija je ok , nije centar ali je ok.
Doručak prosječan.","Najmanja soba  u kojoj sam spavao , a već 20 godina radim u istoj kompaniji i uvijek spavam po hotelima.
Za otići na spavanje trebate puzati.
Utičnice za napuniti mobitel ne rade",2,"Lokacija je ok , nije centar ali je ok.
Doručak prosječan. Najmanja soba  u kojoj sam spavao , a već 20 godina radim u istoj kompaniji i uvijek spavam po hotelima.
Za otići na spavanje trebate puzati.
Utičnice za napuniti mobitel ne rade",negativan
,Male.sobe sa losim internetom  a i u restoranu na meniu ima a kad trazimo da porucmo nema.nista .,2, Male.sobe sa losim internetom  a i u restoranu na meniu ima a kad trazimo da porucmo nema.nista .,negativan
Gotovo nista.,"- WC solja je bila prljava i puna dlaka kada sam dosao. 
- Umesto bojlera, imaju neki grejac za vodu koji ne radi tako da tople vode i nema bas. 
- TV je minijaturan, gotovo da i ne moze da se vidi bilo sta na njemu sa kreveta. 
- Takodje, na sajtu pise da soba ima zvucnu izolaciju sto je apsolutno netacno - sve se cuje, od zveckanja kljuceva iz hodnika do ljudi koji se okupljaju u okolini hotela i deru se. Naravno, sve se cuje i izvan sobe. 
- Hotel se uvece zakljucava, a ljudi koji rade na recepciji nisu tu, vec morate da zovete broj i naravno da se neko nece javiti odmah ili doci istog trenutka, tako da smo se smrzavali 10 minuta ispred hotela nepotrebno (jer interfon ne radi). Ukoliko izadjete iz hotela i zaboravite telefon verovatno cete biti zarobljeni par sati ispred. 
- Cena je bar 3 puta veca nego sto soba stvarno vredi. Postoje mnogo bolje ponude u Leskovcu od ovog hotela, tako da, ako je moguce, najbolje je zaobici ovaj hotel potpuno.
- Soba je jako mala - cim udjete ispred vas je krevet sa jednim malim stolom na kom stoji jako mali monitor (TV).",3,"Gotovo nista. - WC solja je bila prljava i puna dlaka kada sam dosao. 
- Umesto bojlera, imaju neki grejac za vodu koji ne radi tako da tople vode i nema bas. 
- TV je minijaturan, gotovo da i ne moze da se vidi bilo sta na njemu sa kreveta. 
- Takodje, na sajtu pise da soba ima zvucnu izolaciju sto je apsolutno netacno - sve se cuje, od zveckanja kljuceva iz hodnika do ljudi koji se okupljaju u okolini hotela i deru se. Naravno, sve se cuje i izvan sobe. 
- Hotel se uvece zakljucava, a ljudi koji rade na recepciji nisu tu, vec morate da zovete broj i naravno da se neko nece javiti odmah ili doci istog trenutka, tako da smo se smrzavali 10 minuta ispred hotela nepotrebno (jer interfon ne radi). Ukoliko izadjete iz hotela i zaboravite telefon verovatno cete biti zarobljeni par sati ispred. 
- Cena je bar 3 puta veca nego sto soba stvarno vredi. Postoje mnogo bolje ponude u Leskovcu od ovog hotela, tako da, ako je moguce, najbolje je zaobici ovaj hotel potpuno.
- Soba je jako mala - cim udjete ispred vas je krevet sa jednim malim stolom na kom stoji jako mali monitor (TV).",negativan
Skoro nista,Mnogo toga ( odlucite se hotel ili bucna diskoteka ),1,Skoro nista Mnogo toga ( odlucite se hotel ili bucna diskoteka ),negativan
Dve devojke sa recepcije i bara bile su jako ljubazne,"Buka soba je bila iznad velike klime spoljni deo klime  koji je bio bucan celu noc a i put je blizu tako da su celu noc prolazila vozila , krevet neudoban, dorucak je bio ok",3,"Dve devojke sa recepcije i bara bile su jako ljubazne Buka soba je bila iznad velike klime spoljni deo klime  koji je bio bucan celu noc a i put je blizu tako da su celu noc prolazila vozila , krevet neudoban, dorucak je bio ok",negativan
,Nije nam se dopalo sto nas je vlasnik izmeštao nakom bukiranja i to 2 puta,1, Nije nam se dopalo sto nas je vlasnik izmeštao nakom bukiranja i to 2 puta,negativan
