positive,negative,rating
"[ENG] The host was extremely helpful, professional and friendly. The flat was tidy with all mod cons (incl. dishwasher, microwave, washing machine, balcony and many more other utilities). Fast internet, and good choice of TV channels. Very close to the city best spots, including trendy cafes, restouranunts, street food grills and shopping malls. Paticularly good for dental treatment and tourism arrangement - please contact the host for more details.

[SRB] Domaćin je bio vrlo ljubazan, profesionalan i od pomoći. Stan je bio vrlo uredan i potpuno opremljen (mašina za sudove, mikrotalasna, veš mašina, terasa i drugo). Bryi internet i dobar izbor TV kanala. Vrlo blizu centru i najboljim mestima za izlazak u gradu kao trendi kafići, restorani, kiosci sa roštiljom i šoping centri.  Domaćin će vam takođe objasniti sve u vezi kvalitetnog dentalnog tretmana i turizma.","[ENG] There are some building works nearby, generally this is the case across the city, but at no time it caused any problems. The sound isolation (double-glazed windows and doors) was fully satisfactory.

[SRB] Trenutno se grade nove zgrade u relativnoj blizini, kao uostalom i većem delu grada, ali ni u kom momentu to nije predstavljalo problem.  Zvučna izolacija (PVC pozori i vrata) je bila zadovoljavaljuća.",10
Odlicna lokacija. Prostrani stan sa garazom. Ljubazni domacin sa kojim je saradnja lagana. Sve preporuke,,10
Odličan prostor za više ljudi,,10
Vrhunski smeštaj u centru grada. Čista desetka. Za svaku preporuku.,,10
"Prostranost, čistoća, udobnost, komunikacija",Sve je bilo super,10
"Dobro opremljen smeštaj, sve je bilo u redu.",Ništa sto bi uticalo na utisak da je smeštaj odličan.,9
"Dobra lokacija, dobar smestaj, sve pohvale",,10
"Apartman je na odličnoj lokaciji, čist, uredan i lepo opremljen. Domaćin je veoma prijatan čovek lako smo se sve dogovorili. Čim bude bilo prilike dolazimo ponovo. Preporuka! :)",,10
"Fantasticna lokacija. Odlicna mesta za izlazak blok levo, a divan park za decu dva bloka desno. Cisto, komforno, usluzan i strucan domacin. Mi dosli u tranzitu za more, pa ponovo u povratku.",,10
"Blizu centra grada, cisto, domacin je bio ljubazan",Nemam zamerke,10
"Apartman je jako lepo sredjen, cist i prostran, sa svim sadržajima koji su potrebni za boravak cak i duze, na odlicnom mestu u centru grada odakle se lako i brzo stizem pešice  do svih znamenitosti.
Ima obezbedjenu garazu koja se moze koristiti uz doplatu.",,10
"Udoban i lepo opremljen smeštaj, privatan parking. Za svaku preporuku...",,10
"Sjajan apartman, odlicna lokacija, garaza za parkiranje auta. Domacin jako ljubazan. Sve preporuke!",,10
"I više nego zadovoljni, domaćin ljubazan, sačekao u dogovoreno vreme, dostupan za dogovor. Lokacija je odlična, bilo da ste u Nišu zbog odmora, ili posla. Apartman čist, sa svim sadržajima koji su potrebni. Lako ste stiže do lokacije sa autoputa, a garaža u sklopu objekta isključuje probleme oko traženja slobodnog parkinga u blizini.",,10
"Lokacija je fenomenalna. Prekoputa zgrade ima pivnica Berta gde se moze doruckovati (hrana super), iza zgrade je prodavnica, u blizini ima i diskont pica, trafika i taksi stanica. Topla preporuka!",,9
"Extra stancic,prostran,moderan,kuhinja ima sve,super lokacija,parking u garazi zgrade,domacin za svaki dogovor..",,10
"Centar grada,odlična usluga.
Niš predivan grad za upoznati.",,10
Sve,,10
Top,,10
Domaćin opušten i prijatan. Spreman za svaki dogovor.,,10
"Odlična lokacija, ljubazan domaćin.",,10
"Petar je pravi domacin, docekao nas kod zgrade, uveo u garazu, zatim u apartman, sve sa osmehom na licu. Pokazao nam smestaj, objasnio sve sto treba da znamo, malo popricao sa nama, ponudio nas rakijom i zatim otisao dalje sa komentarom da sta god nam treba da ga slobodno zovemo. Savrsen balans prijatnosti i ne zabadanja nosa :)
Lep apartman, udobni kreveti, odlicna lokacija.
Preporuka i za kafic berta prekoputa sa odlicnom klopom, izborom piva i super atmosferom.","Tag za otvaranje vrata radi samo na zadnjem ulazu u zgradu, ako cemo da sitnicarimo :)",10
"Lokacija, garaza, sadrzaji...sve je super.",,10
"Prelep i prostran stan, vlasnik odlican i sklon svakom dogovoru, spreman da izadje u susret gostima maksimalno. Sve pohvale za apartman!",,10
Apartman za svaku pohvalu i preporuku!,,9
"Lokacija u samom centru, čist apartman, odličan za 5-6 osoba!
Svideo nam se i parking u garaži, kao i laka komunikacija sa domaćinom. Preporuke!",,10
"Stan pristojono sredjen,moderno i udobno.","Odrzavanje stana,higijena kuhinje i kupatila na veoma niskom nivou.Bila sam sa decom i jako mi je bitna cistoca,na zalost po tom pitanju razocarana...",8
"Lokacija je odlična, mirno mesto i jako blizu glavnog jezgra grada.",,10
"Fenomenalan smestaj, vlasnik ljubazan, izasao nam je u susret za sve, cak je i doneo dodatne igracke da nasem malcu bude kao kod kuce. Prezadoboljni smo i svima najtoplije preporucujemo.",,10
Domaćin koji se trudio da sve protekne u najboljem redu.Siguran sam da ću i sledeći put odsesti na istom mestu,,10
"lokacija, udobnost",ostala je enigma kako se uključuje radijator u kupatilu,8
"Одличан апартман за туристе у Нишу. Добро опремљен, локација близу центра идеална за посјету главним садржајима града Ниша. Власник апартмана веома љубазан и услужан. Препорука свима.",,10
"Čisto i uredno.
Blizu centra i tržnih centara.

Vlasnik veoma ljubazan.",,10
"Lokacija, raspored u stanu, opremljenost.
Ljubazan domaćin. Parking mesto u garaži.",Nije bio dobro očišćen stan od prethodnih gostiju.,7
Ništa nam se nije dopalo vlasnik stana nam je ulazio u apartman brljao dok mi nismo bili tu. gasio klimu i grejanje. Zaključava smeštaj kada je on to hteo i slično tome. Molim. Booking da sankcionise ovo.,Ništa nam se nije dopalo vlasnik stana nam je ulazio u apartman brljao dok mi nismo bili tu. gasio klimu i grejanje. Zaključava smeštaj kada je on to hteo i slično tome. Molim. Booking da sankcionise ovo. Sve u svemu blagi užas od vlasnika. Velika negativna ocena. Da pripazw ljudi koji odlaze kod istog čoveka,5
Lokacija je dobra,"Cena na na sajtu i vlasnikova se razlikovala ,jos je i dodatno naplatio parking u objektu.",2
"Svaka preporuka za boravak, apartmani su neverovatno uredni i lepo uredjeni. Veoma lak dogovor :)",,10
"Divan apartman, moderan, cist. Vlasnik izuzetno ljubazan i predusretljiv. Za svaku preporuku!",,10
Prijatan i udoban apartman. Brz i jednostavan check-in.,Deo posudja je bio prljav kada smo dosli. :(,9
Sve preporuke,,10
"Zaista je čista desetka , a po našem mišljenju i više od toga. Sve preporuke za apartman i domaćina . Uživali smo . Do skorog viđenja 😀",,10
Sve u apartmanu je bilo savršeno i vlasnik je predusretljiv i ljubazan! Najviše nam se svidela kada :),,10
Sve,,10
"Veoma cisto, lokacija odlicna, smestaj veoma udoban.",,10
Apsolutno sve je bilo odlično! Smeštaj za svaku preporuku! Posebna pohvala za self check in!,,10
Apartman je super kao i lokacija. Odlicna komunikacija sa domacinom.,,10
Izuzetno čisto i komforno.,,10
Sve je bilo kako treba. Ne znanm kakve su cene sliČnih aartmana u NS.,"Još jednom solidna lokacija,izvanredan apartman .........",10
"Divan apartman, opravdava svoje ime... Cisto, moderno uredjeno, opremljeno za odmor i rad. Odlicna lokacija. Sve preporuke!",,10
Sve preporuke!!!!Cista 10!!!,,10
"Cisto, udobno, dobro opremljeno, ljubazni domacini",-,10
"LJubazan domacin, odlican smestaj, dobra lokacija, niska cena, komunikativan domacin spreman da pomogne, ako opet putujem u tom pravcu sigurno cu se opet obratiti za smestaj u tom objektu.","Nemam primedbi, sve je kako je obecano",10
Stigao sam u veoma kasno ali to nije bio nikakav problem,,10
"Sve je prelepo i cisto. Apartman izuzetno prostran i udoban,vlasnici predusretljivi i ljubazni",Jedina zamerka ako uopste moze biti zamerka je sto nema roletne na prozorima vec venecijanere,10
"Jako prijatni domaćini, apartman je lepo opremljen i funkcionalan. Rado bih ponovo odseo ovde",,10
"Smeštaj odličan, domaćini super i ponovo bih išao tamo",Sve nam se dopalo,10
"Izuzetno, prostran, lep i čist objekat. Predusretljivi domaćini. Laka i brza komunikacija. Mir i tišina.","Jastuci su isuviše mekani. Grejanje je, za moj ukus, preterano.",9
"Objekat je čist, prostran, poseduje sve što je potrebno za boravak porodice. Domaćini su izuzetno ljubazni i uslužni. Prelepo dvorište i još lepše terase prepune cveća. I kao poseban dodatak, mali, beli zeka da razveseli  dečicu.",,10
"Cistoca apartmana, lak dogovor sa gazdom oko svega! Xbox klincima :)",,10
Konforan prostor,,10
"Lokacija, prostranost, opremljenost, podno grejanje i parking",---,10
"Izuzetno komforan i vrlo, vrlo prostran smeštaj koji u potpunosti izgleda kao da je su domaćini pravili za sebe a ne za izdavanje. Sve je bilo besprekorno čisto i uredno, uživancija i udobnost su zagarantovani. Definitivno ćemo ponoviti ovaj mali odmor! Smeštaj je blizu predivnog ribljeg restorana ""Tresetište"" koji je za svaku preporuku.",,10
"Ljubazan domaćin.
Čisto i uredno.
Lepa i mirna lokacija.",,10
"Izuzetno ljubazni i predusretljivi domaćini.Vrlo lep, prijatan i čist objekat.",,10
"Sjajni domaćini, čistoća na zavidnom nivou, toplo, komforno, udobno... Sigurno ćemo ponoviti boravak u ovom apartmanu...",Ne postoji bas ni jedna stvar koja nije bila u redu.... Sve nam se dopalo...,10
Sve ostalo,Jastuci,9
Prezadovoljni smo smeštajem i  ljubaznošću domaćina. Naše iskrene preporuke.,,10
Smestaj poseduje sve potrebno za boravak u njemu. Cisto i mirno. Domacini ljubazni.,,10
"Gostoprimstvo domaćina, čistoća i urednost kao i dopunski sadržaji",,9
"Tiha ulica, udobni kreveti, prostran apartman, ljubazni domaćini.",,9
"Izuzetno uredno, ima sve što vam je potrebno za boravak i više. Sve po dogovoru, jasna komunikacija, domaćin uvek na raspolaganju sa uvek svežim informacijama i preporukama.",,10
"Podno grejanje radi odlično.
Krevet top.",,10
Veoma ljubazno i profesionalno osoblje,,10
"Sve je uredno, čisto i lepo. Nemam nikakvih zamerki, sve preporuke. 10/10",,10
"Ima sve što je potrebno, odličan ambijent. Doručak je fenomenalan.",,10
Exstra lokacija i osoblje,Malo tvrdi gušeci za moj ukus,9
ODLICAN,,8
Sve pohvale za angažovanje oko kućnog ljubimca,"Doručak jako oskusan, ili smo mi veliki gurmani pa nas nije baš oduševio",9
Bilo je odlicno,Sve je bilo ok,10
"Sve je odlicno
Lokacija je 500 metara od Galerije
Parking obezbedjen sa kamerama i fizicko obezbeduvanje bezbedno 100%",Sto nije nam receno da parkig je u zgradi BW VISTA a smestaj je u BW PARKVIEW,10
"Domaćini izuzetno darežljivi, lokacija, čistoća, terasa, sve je perfektno.",,10
Sve je perfektno!,,10
"Organizacija, lokacija, pogled, opremljenost, udobnost, terasa, kvalitet zgrade, kafa....",Krevet je razdrndan. Ali je odličan. 😴,10
Stan na izuzetnoj lokaciji sa parking mestom u garazi .Sve preporuke dolazim ponovo zasigurno.,,10
Sve,,10
"Lokacija je odlicna, stan je opremljen jako dobro i ima sve sto je neophodno za duzi boravak.",,10
"Odlicna lokacija, lak dogovor oko preuzimanja kljuceva. Apartman nov, cist. Odlican odnos cene u kvaliteta.",,10
Sve,/,10
"Lak dogovor oko preuzimanja kljuceva, cisto, dobra lokacija i sve je kako i pise.","Sve je bilo extra, jedina mala zamerka je sto je klima curkala malo.",9
Izuzetan,,10
"Odlična lokacija, čisto, sve je kao na slici i odlično obaveštenje o parkingu.",,10
Sve je top,,10
Odlicno je sve. Vracamo se ponovo.,,10
"Sve je bilo u najboljem redu. Čisto, uredno i novo.",,10
Savrsena lokacija i objekat,,10
Lokacija savrsena. Idealan izbor za boravak u Beogradu.,Smjestaj je ispunio sve sto smo ocekivali.,10
"Apartman je nov, opremljen svim potrebnim za boravak, cak i na duzi period. Blizu setalista i TC","Zgrada u kojoj je apartman je tek pustena u upotrebu, nisu zavrseni svi radovi, te je bilo dosta prasine koja se unosila i u apartman.",9
"Izuzetno ljubazni domacini sa detaljnim uputstvima za dolazak.odlicna lokacija,apartman cist,uredan sa svim potrebnim sadrzajima",,10
Sve sto je bilo potrebno smo imali.Veoma laka komunikacija sa vlasnikom.Djevojke na recepciji jako kulturne i ljubazne.,,10
"Besprekorno cisto,udobno sa predivnim pogledom I odlicnom organizacijom svavako cu opet doci.",,10
"Sve je perfektno.
Profesionalan odnos.
Odlična komunikacija.
Bez mana.",,10
Apsolutno sve !,,10
Sve je bilo super,Nema losih utisaka,10
Sve je bilo super,Nemam primedbi,10
Sve je bio super i veoma ljubazne devojke na recepciji!!👍🏻👍🏻,"Osecaos se smrad u kupatilu,morali smo da zatvaramo vrata,bilo je bas nerijatno!!😡😳🤢Zao mi sto moram ovo da napisem ali je tako!",9
"Izvrsna lokacija, odlican apartman, garaza, osoblje za sve pohvale...
pravi ugodjaj...",Gradiliste u blizini,9
Zgrada,"Moglo je biti malo cistije, bilo je prasine ali ok je",9
"Sve je savršeno, lokacija, udobnost, čistoća!",,10
"Lokjacija odlicna, objekat nov, cist i uredan.
Garaza i pristup odlicni.",Sve je u najboljem redu.,10
"Sve za pohvalu i svaku preporuku, cena pristupačna i realna 👏👏👏",,10
"Odlicna lokacija. Sve je onako kako stoji u opisu ( pogled, terasa, opremljenost apartmana). Vlasnica je ljubazna.  Zaista za svaku preporuku. I naredni put cu iznajmiti ovaj apartman.",,10
Sve preporuke za apartman,,10
Odlična lokacija sa koje se brzo i lako stiže da svih znamenitosti Beograda.,Sve je bilo odlično.,10
Ljubaznost i korektnost.,Sve je bilo kako treba.,10
Apartman je savršen. Pogled na reku Savu je besprekoran. Sve zajedno ostavlja utisak za čistu desetku. Preporuka za svakog putnika!,,10
Odlična lokacija u blizini Save. Veoma ljubazno osoblje. Stan je moderno opremljen i čist.,Smetalo mi je jedino što u sobi za dvoje nije bilo dve fotelje nego samo jedna.,9
Sve je perfektno!,,10
,"Savršena lokacija, apartman super udoban, vlasnik ljubazan i dostupan u svako vreme. Sigurno cemo doci i sledeci put",10
"Apartmani pruzaju sve sto gostima koji zele da svoj boravak u Beogradu provedu na jednom ""visem nivou"". Prije svega opremljeni su najmodernijom opremom. Svi sadrzaji poput kafica, restorana, trznog centra su oko vas. Povezanost garaze tj. vaseg parking mjesta sa apartmanom je fenomenalna.
I ono najbitnije domacin je susretljiv i profesionalan. U svakom trenutku je dostupan ako vam zatreba bilo sta. 
Why Apartments Royal Belgrade Waterfront?????
Because.......SIMPLE THE BEST!!!!!!",,10
"Lokacija, higijena, domaćin... odličan smeštaj.",,10
"Krevet odličan, usluga odlična",Apartman je premali,8
"Lokacija je jako dobra i pristupacna, domacini su jako dobro organizovani.","Kupatilo moze da bude cistije,  i dalje su radovi u zgradi pa je malo nezgodno za liftove ,,,,",7
Sacekala me voda u frizideru obicna i kisela😊,Mali apartman i buka jer je ulica i semafor odma ispod prozora😏,6
"Ljubaznost, čistoća, lokacija, internet",,10
,Zbog režima saobraćaja u ulicama oko hotela bilo je malo nezgodno naći zadnji ulaz (garažu) hotela. Bilo bi dobro da osoblje na recepciji prilikom rezervacije (ukoliko se ista vrši telefonski) napomene/objasni gostima kako doći do garaže.,9
"Odlična lokacija, besplatan parking u garaži, odličan WiFi, ukusan doručak, prilično komforne i čiste sobe. Veoma prijatno i ljubazno osoblje.",-,9
"Lokacija,usluga,doručak",Malo dostupnog parking mesta ali je javna garaža jako blizu,10
Top. I lokacija.,,8
"Hotel se nalazi na odlicnoj lokaciji. Sobe su lepe, ciste, osoblje je jako ljubazno.
Hotel poseduje garazu sto je jako bitno za sve nas koji dolazimo autom.
Zaista hotel za preporuku... ❤️",,10
"Odlicna lokacija, osoblje je ljubazno, hotel je besprekorno cist...Svaka preporuka!",,10
"Nama je ovo drugi put da smo boravili ovde, ali ne i poslednji jer sve je super.
Od Lokacije, osoblja , čistoća.",Nista,10
"lokacija, ljubazno osoblje, čistoća...",,10
"Lokacija, izuzetno ljubazno osoblje (recepcioner i sobarica)",Aparat za kafu,9
"Lokacija je odlicna. Lepo je, cisto i uredno.","Buka u hotelu, pogotovo nocu. Gosti pored nas su bili apsolutno preglasni (vika, lupanje vratima, trcanje kroz hodnik). Znam da to nema mnogo veze sa hotelom, ali bilo bi dobro da se to ne desava.",9
"Mogu odgovorno ostaviti svoju preporuku, sve je do tancina perfekntno, lokacija, sam apartman, higijena na vrhunskom nivou, usluga, sve za Veliku desetku..",,10
"Top lokacija, novi apartmani, uredni, moderno opremljeni.",,10
"Top lokacija, uredno, čisto. Uvijek se rado vraćam u ovaj apartman..",,10
"Sjajna lokacija, sam centar grada.",,9
sve je bilo super,cena je malo vise veca nego sto bi trebalo,10
,jedino krevet sto je bio sastavljen od dva manja pa je bila rupa na sredini ostalo sve super,8
Recepcioner Filip je extra!Preporuke za smjestaj,parking..,10
"Top lokacija, ljubazno osoblje. Sve preporuke za apartmane.",,10
"super je smjestaj,sve je cisto i uredno i lokacija je fenomenalna.","moja zamjerka je parking,parkiraliste je stvarno blizu ali je velika guzva i cesto nema mjesta.Ne bi bilo lose kad bi gosti mogli da rezervisu na tom parkiralistu parking mjesto sa dnevnom kartom.Sobe do ulice su malo bucnije a ove suprotno su odlicne.",9
"Ljubazno osoblje.
Izvanredna lokacija",Sve je bilo Ok,9
"Nemam primedbi na smastaj
Svaka cast",,10
"Ljubazno osoblje, ciste i udobne sobe.",Sve je bilo U najboljem redu... Nema loseh stvari,8
"Све препоруке, хвала.",---,10
"Ovo je trenutno moje omiljene mesto za boravak u BG.
Top i savršena lokacija, čisto, ljubazno osoblje, sve je bilo savršeno i doćićemo opet.","Jedinooo sto mi se nije svidelo je to sto se TV nalazio iznad pomoćnog lezaja na kom je spavala moja ćerka, taka da tv nismo mogli da gledamo.",10
"Lokacija smestaja je predobra.
Osoblje je Veoma ljubazno",Sve je super bilo,10
"Raspoloženje idealno,sve na dohvat ruke.Vrlo čisto,svaka čast spremačicama.Nismo ih videli,ali uvek se vračali u idealno čistu sobu.Servis na visokom nivou.Što se tiče transfera,sve na vreme i po vrlo povoljnoj ceni.U automobilu ima wifi.Sve je bilo super",Nemamo zamerke,10
"Lokacijata e top,komocija super.Cistota e vrv.Moderen enterier. Go preporacuvam na sekoj koj ke patuva vo Beograd. Pristupacna cena kulturni i ljubezni  ljuge.",,10
"Cista soba, savrseno.",,10
"Немају доручак, али је услуга и локација објекта одлична. Пријатно особље и веома уредни и чисти апартмани.",Можда недостатак понуде доручка и то што је смјештен у станбеној згради.,9
"Sve je bilo super, cista soba, udoban krevet, lokacija dobra, ljubazno osoblje . Sve preporuke.",,10
"Ljubazno osoblje, cisto, lako se nalazi, blizu je do samog centra i blizini imate bioskop, prodavnicu, salon za masazu, trafiku ,kafic sve sto treba. Preko puta hotela je i taxi stanica tako da uvek imate dostupan taxi.",Jedini problem je saobracaj koju stvara visoku buku tako da ako niste navikli na to verovatno ce vam smetati ujutru.,9
"Lokacija je fantastična.
Kreveti su vrlo vrlo udobni i sve je besprekorno čisto.",/,10
Nista,"Neko nas je prevario ili Booking ili hotel , kad sam rezervisao sobu kao Genius korisnik pisalo 51 e , cim sam obavio rezervaciju izbacio je novi iznos 59 e ! A naplatili su mi iz hotela 63 e i to dan pre dolaska , prava lakrdija ! Napominjem da sam genius korisnik treci nivo i da 10 ak godina putujem preko  Bookinga i ovakvo menjanje cjena nisam nikad video , sreca da su mali iznosi jer sam rezervisao samo jednu noc ali sramota je varati svoje redovne korisnike usluga !",2
"Sve ostalo je bilo i vise nego zadovoljavajuce
Soba ima terasu, pa je za pusace to veliki plus","Nesto duze cekanje prilikom check-in-a
Dupli krevet na slici je zapravo dva manja spojena",9
"Lokacija i ambijent su prednost ovog mesta, veliko, moderno kupatilo.",,9
sve je super lokacija osoblje higijena,"bracni krevet jer je bio sastavljen od dva manja duseka pa je rupa u sredini kreveta , nema bade mantila , i cena je malo preterano visoka",6
"Veoma prijatno i gostoljivo osoblje. Apartman ima sve vrhunske kvalitete , higijena na visokom nivou. Pored vile se nalazi predivno jezero koje dopunjuje utisak predivnog odmora i osecaja beskrajnog uzivanja.",,10
"Odlična lokacija, mir, doručak",,10
"Izuzetno prijatan boravak, malo izdvojeno od centra, potpuni mir.",,10
"Odlicno mesto za odmor i uzivanje. U neposrednoj blizini nalazi se omanje jezero (na koje gleda terasa objekta gde se sluzi dorucak) te je priroda i okolina veoma opustajuca, vazduh je cist i put do Palickog jezera jos lepsi zahvaljuci takvoj sredini. Smestaj je veoma cist, odlicno opremljen, imali smo i krevetac za bebu.",,10
"Lep smeštaj, dobra lokacija, prijatan i ljubazan domaćin koji nam je upitio korisne preporuke za obilazak Palića.
Posebno nam se svideo pogled iz restorana  gde smo doručkovali na jezero.
Kada bi ponovo bili na Paliću, sigurno bi se vratili u isti smeštaj.",,10
"Sveobuhvatno fenomenalno!!!
Sve pohvale!",,10
"Odlična lokacija,smeštaj odličan,jako čisto. Sve pohvale.",,10
"Удобан смештај ,љубазно особље као и власници. Свака препорука за овај објекат.",,10
"Sve, a najviše mir i lepota u   ispred objekta!",,10
Bazen,"Soba nema terasu, nema gde da se suši veš",8
"Lokacija je izvanredna, jezerce se nalazi ispred, blizu je glavnog šetališta a tek dovoljno skriven smeštaj kao neki dvorac u šumici. Noć je bila hladnija nego očekivano, soba je imala klimu ali podešavanja za toplo nisu radila tako da je mali minus. Doručak je bio jako ukusan, ali kako ga osoblje poručuje postoji tačno vreme kada možete doći ako poručite dan unapred i ume da kasni, što pretpostavljam da nije problem osim ako niste poslovno odseli kao mi. Sve u svemu, doći ćemo opet sigurno.","Doručak je malo kasnio i klima u smeštaju nije radila. Tople vode ima, samo morate malo sačekati. Sve ostalo je zaista bilo čisto i uredno.",8
"Ljubazno osoblje, apartman čist i moderan, lokacija izuzetna.",,10
Sve je bilo super,,10
"bukvalno nov hotel, moderan, na odlicnoj lokaciji. svaka preporuka.",,10
"Prelep apartman prelepa lokacija,jako ljubazno osoblje",,10
"Apartmani su odlični sa kuhinjom (sa frižiderom, mikrotalasnom, kuvalom, besplatna kafa (2u1) i flašu vode). Čisto, uredno, udoban krevet, kupatilo čisto (sa fenom za sušenje kose na raspolaganju). Osoblje krajnje ljubazno i gostoljubivo. Svaka preporuka. Generalno je blizu jezera Palić, bliže je Krvavom jezeru.","Put do hotela nije asfaltiran i jako loš. Mada to možda i nije do hotela, već do samog grada.",10
